01M142,M142,P.S. 142 Amalia Castro,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1976,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,true
84M320,M320,Manhattan Charter School,Charter,General Academic,Elementary,0K 01 02 03 04 05,0K 01 02 03 04 05,Jul 1 2005,Open,M142,100 ATTORNEY STREET,MANHATTAN,NY,10002,1,84,K01D,OFFICE OF CHARTER SCHOOLS,true
18K211,K211,I.S. 211 John Wilson,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 1958,Open,K211,1001 EAST 100 STREET,BROOKLYN,NY,11236,18,18,K818,COMMUNITY SCHOOL DISTRICT 18,true
84K724,K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),Charter,General Academic,K-8,0K 01 02 03 05 06 07 08,0K 01 02 03 04 05,Jul 1 2013,Open,K211,1001 EAST 100 STREET,BROOKLYN,NY,11236,18,84,K01D,OFFICE OF CHARTER SCHOOLS,true
13K265,K265,Dr. Susan S. McKinney Secondary School of the Arts,DOE,General Academic,Secondary School,06 07 08 09 10 11 12 SE,06 07 08 09 10 11 12,Jul 1 1958,Open,K265,101 PARK AVENUE,BROOKLYN,NY,11205,13,13,K813,COMMUNITY SCHOOL DISTRICT 13,true
84K752,K752,Success Academy Fort Greene (Brooklyn 5),Charter,General Academic,Elementary,0K 01 02 03 04 05,0K 01 02 03 04 05,Jul 1 2013,Open,K265,101 PARK AVENUE,BROOKLYN,NY,11205,13,84,K01D,OFFICE OF CHARTER SCHOOLS,true
12X446,X446,Arturo A. Schomburg Satellite Academy Bronx,DOE,Transfer School,High school,10/11/2012,09 10 11 12,Jul 1 2010,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,12,X812,COMMUNITY SCHOOL DISTRICT 12,true
12X480,X480,Bronx Regional High School,DOE,Transfer School,High school,10/11/2012,09 10 11 12,Jun 5 1996,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,12,X812,COMMUNITY SCHOOL DISTRICT 12,true
84X200,X200,ROADS Charter School II,Charter,General Academic,High school,09 10 11 12 SE,09 10 11 12,Jul 1 2012,Open,X401,1010 REV. J. A. POLITE AVENUE,BRONX,NY,10459,12,84,K01D,OFFICE OF CHARTER SCHOOLS,true
17K532,K532,New Bridges Elementary,DOE,General Academic,Elementary,0K 01 02 SE,PK 0K 01 02 03 04 05,Jul 1 2013,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17,true
17K167,K167,P.S. 167 The Parkway,DOE,General Academic,Elementary,03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1911,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17,true
84K741,K741,Success Academy Crown Heights (Brooklyn 7),Charter,General Academic,Elementary,0K 01 02 03 04 05,0K 01 02 03 04 05,Jul 1 2013,Open,K167,1025 EASTERN PARKWAY,BROOKLYN,NY,11213,17,84,K01D,OFFICE OF CHARTER SCHOOLS,true
18K114,K114,P.S. 114 Ryder Elementary,DOE,General Academic,Elementary,0K 01 02 03 04 05 SE,PK 0K 01 02 03 04 05,Jul 1 1907,Open,K114,1077 REMSEN AVENUE,BROOKLYN,NY,11236,18,18,K818,COMMUNITY SCHOOL DISTRICT 18,true
84K379,K379,Explore Excel Charter School,Charter,General Academic,K-8,0K 01 02 03 04 05,0K 01 02 03 04 05 06 07 08,Jul 1 2011,Open,K114,1077 REMSEN AVENUE,BROOKLYN,NY,11236,18,84,K01D,OFFICE OF CHARTER SCHOOLS,true
18K588,K588,Middle School for Art and Philosophy,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Jul 1 2007,Open,K252,1084 LENOX ROAD,BROOKLYN,NY,11212,18,18,K818,COMMUNITY SCHOOL DISTRICT 18,true
84K608,K608,Kings Collegiate Charter School,Charter,General Academic,Secondary School,04 05 06 07 08 09 10 11,05 06 07 08 09 10 11 12,Jul 1 2007,Open,K252,1084 LENOX ROAD,BROOKLYN,NY,11212,18,84,K01D,OFFICE OF CHARTER SCHOOLS,true
23K644,K644,Eagle Academy for Young Men II,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 09 10 11 SE,06 07 08 09 10 11 12,Jul 1 2008,Open,K271,1137 HERKIMER STREET,BROOKLYN,NY,11233,23,23,K823,COMMUNITY SCHOOL DISTRICT 23,true
23K522,K522,Mott Hall IV,DOE,General Academic,Junior High-Intermediate-Middle,06 07 08 SE,6/7/2008,Sep 8 2004,Open,K271,1137 HERKIMER STREET,BROOKLYN,NY,11233,23,23,K823,COMMUNITY SCHOOL DISTRICT 23,true
84K777,K777,Ocean Hill Collegiate Charter School,Charter,General Academic,Secondary School,05 06 07 08,05 06 07 08 09 10 11 12,Jun 1 2010,Open,K271,1137 HERKIMER STREET,BROOKLYN,NY,11233,23,84,K01D,OFFICE OF CHARTER SCHOOLS,true
17K334,K334,Middle School for Academic and Social Excellence,DOE,General Academic,Junior High-Intermediate-Middle,0K 06 07 08 SE,6/7/2008,Jul 1 2005,Open,K390,1224 PARK PLACE,BROOKLYN,NY,11213,17,17,K817,COMMUNITY SCHOOL DISTRICT 17,true
